model_name,n_processes,repeat,execution_time_ms,total_parallel_time_ms,baseline_time_ms,speedup_factor,parallel_efficiency,scaling_type
Anticonvulsant Legacy Markov,5,4,1550.958776,7754.793882,494.6279526,0.318917537,0.063783507,task_parallel
Anticonvulsant Legacy Markov,6,0,957.8273296,5746.963978,494.6279526,0.51640618,0.086067697,task_parallel
Anticonvulsant Legacy Markov,6,1,1201.839844,7211.039066,494.6279526,0.411558957,0.068593159,task_parallel
Anticonvulsant Legacy Markov,6,2,943.0591663,5658.354998,494.6279526,0.524493023,0.087415504,task_parallel
Anticonvulsant Legacy Markov,6,3,2577.594995,15465.56997,494.6279526,0.19189514,0.031982523,task_parallel
Anticonvulsant Legacy Markov,6,4,1680.038492,10080.23095,494.6279526,0.294414655,0.049069109,task_parallel
Anticonvulsant Legacy Markov,7,0,1509.84369,10568.90583,494.6279526,0.327602093,0.046800299,task_parallel
Anticonvulsant Legacy Markov,7,1,1415.581976,9909.07383,494.6279526,0.349416679,0.049916668,task_parallel
Anticonvulsant Legacy Markov,7,2,1283.362559,8983.537912,494.6279526,0.385415601,0.055059372,task_parallel
Anticonvulsant Legacy Markov,7,3,1096.702439,7676.917076,494.6279526,0.451013816,0.064430545,task_parallel
Anticonvulsant Legacy Markov,7,4,1123.929569,7867.506981,494.6279526,0.440088033,0.062869719,task_parallel
Anticonvulsant Legacy Markov,8,0,1101.693749,8813.549995,494.6279526,0.448970463,0.056121308,task_parallel
Anticonvulsant Legacy Markov,8,1,1304.36787,10434.94296,494.6279526,0.379208936,0.047401117,task_parallel
Anticonvulsant Legacy Markov,8,2,793.7782109,6350.225687,494.6279526,0.623131179,0.077891397,task_parallel
Anticonvulsant Legacy Markov,8,3,942.4541593,7539.633274,494.6279526,0.52482972,0.065603715,task_parallel
Anticonvulsant Legacy Markov,8,4,734.2489958,5873.991966,494.6279526,0.673651521,0.08420644,task_parallel
Anticonvulsant Legacy Markov,9,0,1521.494442,13693.44997,494.6279526,0.3250935,0.0361215,task_parallel
Anticonvulsant Legacy Markov,9,1,1017.036676,9153.330088,494.6279526,0.486342296,0.054038033,task_parallel
Anticonvulsant Legacy Markov,9,2,1101.498339,9913.48505,494.6279526,0.449050112,0.049894457,task_parallel
Anticonvulsant Legacy Markov,9,3,1299.486213,11695.37592,494.6279526,0.380633475,0.042292608,task_parallel
Anticonvulsant Legacy Markov,9,4,1438.43521,12945.91689,494.6279526,0.343865298,0.038207255,task_parallel
Anticonvulsant Legacy Markov,10,0,2172.165895,21721.65895,494.6279526,0.227711868,0.022771187,task_parallel
Anticonvulsant Legacy Markov,10,1,2722.577477,27225.77477,494.6279526,0.181676355,0.018167636,task_parallel
Anticonvulsant Legacy Markov,10,2,1220.575213,12205.75213,494.6279526,0.405241682,0.040524168,task_parallel
Anticonvulsant Legacy Markov,10,3,984.5018148,9845.018148,494.6279526,0.502414465,0.050241446,task_parallel
Anticonvulsant Legacy Markov,10,4,1220.68398,12206.8398,494.6279526,0.405205574,0.040520557,task_parallel
