model_name,drug_type,concentration,shift_mv
Anti-Conv CTBN,DPH,92.3670857187386,-11.92423073744449
Anti-Conv Markov,CBZ,92.3670857187386,-7.482158591374414
Anti-Conv CTBN,CBZ,92.3670857187386,-7.482158592180198
Anti-Conv Markov,LTG,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,LTG,92.3670857187386,-11.92423073744449
Anti-Conv Markov,DPH,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,DPH,92.3670857187386,-11.92423073744449
Anti-Conv Markov,CBZ,92.36708571873861,-7.482158591374414
Anti-Conv CTBN,CBZ,92.36708571873861,-7.482158592180198
Anti-Conv Markov,LTG,92.36708571873861,-11.924230736518638
Anti-Conv CTBN,LTG,92.36708571873861,-11.92423073744449
Anti-Conv Markov,DPH,92.36708571873861,-11.924230736518638
Anti-Conv CTBN,DPH,92.36708571873861,-11.92423073744449
